iter	MultiClass
0	1.088678542
1	1.079795196
2	1.072021004
3	1.064914451
4	1.058053551
5	1.052139202
6	1.046647229
7	1.041588539
8	1.037121133
9	1.03267163
10	1.028931158
11	1.025521332
12	1.022178443
13	1.019255446
14	1.016425948
15	1.013740762
16	1.011131184
17	1.00906584
18	1.007076271
19	1.005126912
20	1.003190708
21	1.001135277
22	0.9995754407
23	0.9980102187
24	0.9961724701
25	0.9946696685
26	0.9932223379
27	0.9921644598
28	0.9909996441
29	0.9898362991
30	0.9885969942
31	0.9876501957
32	0.9864000063
33	0.9854038417
34	0.984451562
35	0.9836393552
36	0.9828849818
37	0.9822686345
38	0.9814549308
39	0.9806968483
40	0.979690143
41	0.9789349507
42	0.9783734707
43	0.9780297519
44	0.9772820357
45	0.9767459584
46	0.9761153189
47	0.975471527
48	0.9748126197
49	0.9739611222
50	0.9731895644
51	0.9728302141
52	0.9721781825
53	0.9717843577
54	0.971330419
55	0.9707322018
56	0.9701540805
57	0.969823807
58	0.9694640536
59	0.9689791075
60	0.9684116413
61	0.9681512797
62	0.9673546647
63	0.9668227801
64	0.9664048689
65	0.9660419312
66	0.9656082654
67	0.965213142
68	0.9649018464
69	0.9643585158
70	0.9642336537
71	0.9638303762
72	0.9634294776
73	0.9630684141
74	0.9624295594
75	0.9618739714
76	0.9615624569
77	0.9610356692
78	0.9606484451
79	0.9600288883
80	0.9591659157
81	0.9587798789
82	0.9584718913
83	0.9582050899
84	0.9577739815
85	0.9572755562
86	0.9570853904
87	0.9563642604
88	0.9559167283
89	0.9556661127
90	0.9552642626
91	0.9549726565
92	0.9545762419
93	0.9543408379
94	0.9539944642
95	0.9535279609
96	0.9530728071
97	0.9529058063
98	0.9526050454
99	0.9521305887
100	0.9517238992
101	0.9512990386
102	0.9510198314
103	0.9504175676
104	0.9502537155
105	0.9500545
106	0.9496819783
107	0.9493639752
108	0.949234392
109	0.9488592771
110	0.9484653876
111	0.9480590366
112	0.9472492992
113	0.9467088375
114	0.9462418406
115	0.9456593501
116	0.9454626994
117	0.9452418722
118	0.9448870503
119	0.9443784009
120	0.9439794412
121	0.9433101067
122	0.9429066418
123	0.9422256433
124	0.9420172665
125	0.9415336663
126	0.9412867952
127	0.9407998644
128	0.9406063496
129	0.9403462321
130	0.9399258033
131	0.9396985857
132	0.939266934
133	0.938553327
134	0.9382116818
135	0.9377594218
136	0.9374171666
137	0.937056848
138	0.9367801575
139	0.9363760833
140	0.9358054103
141	0.9355695384
142	0.9352729808
143	0.934586913
144	0.934143859
145	0.9337538029
146	0.9333761666
147	0.9330222593
148	0.9325842469
149	0.932341041
150	0.9319733766
151	0.9316463532
152	0.9313243711
153	0.9310412802
154	0.9308396071
155	0.930624114
156	0.9303529817
157	0.9301409895
158	0.9296812469
159	0.929371344
160	0.9289342963
161	0.9285648818
162	0.9284100489
163	0.9282061284
164	0.9279412231
165	0.9277115865
166	0.9274846551
167	0.9270555381
168	0.9268483702
169	0.9263219904
170	0.9261549153
171	0.9255161959
172	0.9249740101
173	0.9247603337
174	0.9242745322
175	0.9236347226
176	0.922946581
177	0.9226815838
178	0.9219529301
179	0.9216782545
180	0.9213747571
181	0.9211354219
182	0.9206780686
183	0.9204436213
184	0.9199972937
185	0.919172778
186	0.9187302471
187	0.9184528569
188	0.9180076445
189	0.9176384271
190	0.9173053553
191	0.9169198266
192	0.9165914157
193	0.9162301097
194	0.9157527792
195	0.9154040715
196	0.9150181351
197	0.9147071001
198	0.9143637345
199	0.9140377475
200	0.913484669
201	0.9131890757
202	0.9127752236
203	0.9124089636
204	0.9121473445
205	0.911667763
206	0.9112407
207	0.9108409723
208	0.9103038571
209	0.9099163793
210	0.9092686243
211	0.9088649416
212	0.9085100057
213	0.9077787462
214	0.9071749619
215	0.9067922166
216	0.9064903963
