iter	Passed	Remaining
0	1	677
1	2	717
2	4	695
3	5	661
4	6	643
5	7	629
6	8	620
7	10	618
8	11	610
9	12	615
10	13	614
11	14	609
12	16	604
13	17	602
14	18	598
15	19	595
16	20	591
17	22	589
18	23	586
19	24	588
20	25	585
21	26	584
22	28	582
23	29	585
24	31	589
25	32	589
26	33	586
27	34	585
28	36	588
29	37	586
30	38	584
31	39	581
32	40	579
33	42	577
34	43	576
35	44	575
36	45	572
37	46	570
38	48	568
39	49	574
40	51	574
41	52	574
42	53	573
43	55	572
44	56	572
45	57	570
46	59	571
47	61	575
48	62	574
49	63	574
50	65	575
51	66	573
52	68	575
53	69	576
54	71	575
55	72	573
56	73	573
57	75	572
58	76	573
59	77	571
60	79	568
61	80	566
62	81	565
63	82	563
64	83	561
65	85	562
66	86	561
67	88	561
68	89	559
69	90	556
70	91	554
71	93	553
72	94	552
73	95	550
74	96	548
75	97	546
76	99	544
77	100	542
78	101	541
79	102	540
80	104	538
81	105	536
82	106	534
83	107	532
84	108	531
85	109	529
86	111	527
87	112	526
88	113	524
89	114	522
90	115	520
91	116	518
92	118	516
93	119	515
94	120	514
95	121	512
96	123	511
97	124	509
98	125	508
99	126	507
100	128	505
101	129	504
102	130	502
103	131	500
104	132	499
105	134	498
106	135	497
107	136	495
108	137	493
109	138	491
110	139	489
111	140	488
112	142	487
113	143	485
114	144	484
115	145	482
116	146	480
117	148	479
118	149	477
119	150	476
120	151	475
121	153	474
122	154	472
123	155	471
124	156	469
125	157	468
126	159	467
127	160	465
128	161	464
129	162	462
130	163	461
131	164	459
132	166	458
133	167	457
134	168	455
135	169	454
136	171	453
137	172	451
138	173	450
139	174	449
140	176	448
141	177	446
142	178	445
143	179	443
144	180	442
145	182	442
146	184	442
147	185	441
148	186	440
149	188	438
150	189	437
151	190	436
152	191	434
153	192	433
154	194	433
155	195	432
156	197	430
157	198	429
158	200	429
159	201	427
160	202	426
161	203	424
162	204	423
163	205	421
164	207	420
165	208	419
166	209	418
167	210	416
168	212	415
169	213	413
170	214	412
171	215	411
172	216	409
173	218	408
174	219	407
175	220	406
176	222	405
177	223	403
178	224	403
179	225	401
180	227	400
181	228	398
182	229	397
183	230	395
184	231	394
185	233	393
186	235	394
187	237	393
188	238	392
189	239	390
190	241	389
191	242	388
192	243	387
193	244	386
194	245	384
195	247	383
196	248	382
197	250	381
198	251	380
199	252	379
200	254	378
201	255	377
202	256	375
203	258	374
204	259	373
205	261	372
206	262	371
207	263	370
208	265	369
209	266	368
210	267	366
211	268	365
212	270	364
213	271	362
214	273	361
215	274	360
216	275	359
217	276	357
218	277	356
219	279	355
220	280	354
221	281	352
222	283	351
223	285	351
224	286	350
225	287	348
226	288	347
227	289	345
228	290	344
229	292	343
230	293	341
231	294	340
232	295	339
233	297	337
234	298	336
235	299	335
236	300	333
237	302	332
238	303	331
239	304	329
240	305	328
241	306	327
242	307	325
243	309	324
244	310	323
245	311	321
246	312	320
247	314	319
248	315	317
249	316	316
250	317	315
251	318	313
252	320	312
253	321	311
254	322	310
255	324	308
256	325	307
257	326	306
258	328	305
259	329	304
260	330	302
261	332	301
262	333	300
263	334	299
264	335	297
265	336	296
266	338	295
267	339	293
268	340	292
269	341	291
270	343	289
271	344	288
272	345	287
273	347	286
274	348	284
275	349	283
276	350	282
277	351	281
278	353	279
279	354	278
280	355	277
281	356	275
282	357	274
283	358	273
284	360	271
285	361	270
286	362	269
287	364	268
288	365	266
